ACTION,RESOURCE_count,MGR_ID_count,ROLE_ROLLUP_1_count,ROLE_ROLLUP_2_count,ROLE_DEPTNAME_count,ROLE_TITLE_count,ROLE_FAMILY_DESC_count,ROLE_FAMILY_count,ROLE_CODE_count,RESOURCE_target,MGR_ID_target,ROLE_ROLLUP_1_target,ROLE_ROLLUP_2_target,ROLE_DEPTNAME_target,ROLE_TITLE_target,ROLE_FAMILY_DESC_target,ROLE_FAMILY_target,ROLE_CODE_target,RESOURCE_MGR_ID_target,RESOURCE_ROLE_DEPTNAME_target,RESOURCE_ROLE_FAMILY_DESC_target,RESOURCE_ROLE_CODE_target,RESOURCE_ROLE_TITLE_target,RESOURCE_ROLE_ROLLUP_2_target,MGR_ID_ROLE_FAMILY_DESC_target,MGR_ID_ROLE_TITLE_target,MGR_ID_ROLE_CODE_target,RESOURCE_ROLE_FAMILY_target
1,3,55,21407,4424,72,3583,6896,10980,3583,1.0,1.0,0.9491624350668301,0.9553596815467729,0.9464285714285714,0.9696865311746469,0.9349376114081996,0.9431882101473732,0.9696865311746469,1.0,0.9421099209618847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,30,10,21407,3945,159,81,12,1287,81,0.9615384615384616,1.0,0.9491624350668301,0.9699747155499368,0.9037037037037037,0.9666666666666667,1.0,0.9448209099709584,0.9666666666666667,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9,1.0,1.0,1.0,0.9421099209618847
1,2,3,184,184,546,1256,33,2636,1256,1.0,1.0,0.9210526315789473,0.9210526315789473,0.9341176470588235,0.88259526261586,0.9285714285714286,0.9068532818532818,0.88259526261586,0.9421099209618847,1.0,0.9421099209618847,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,62,21407,3945,190,4649,1244,10980,4649,0.9421099209618847,1.0,0.9490862381035792,0.9703915950334289,0.9875,0.9184339314845025,0.956,0.9421383647798742,0.9184339314845025,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9421099209618847,1.0,1.0,1.0,0.9421099209618847
1,8,9,276,138,45,75,19,362,75,1.0,1.0,0.9393939393939394,0.8916666666666667,0.78125,0.8813559322033898,1.0,0.8571428571428571,0.8813559322033898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,5,2,74,73,179,1043,79,2636,1043,1.0,1.0,0.953125,0.9523809523809523,0.9014084507042254,0.9281437125748503,0.8412698412698413,0.9095571095571096,0.9281437125748503,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9421099209618847,1.0,0.9421099209618847,0.9421099209618847,0.9421099209618847,1.0
1,409,20,21407,3945,24,147,154,493,147,0.9476744186046512,1.0,0.9494152046783626,0.967316153362665,1.0,0.9206349206349206,0.953125,0.948780487804878,0.9206349206349206,0.9421099209618847,1.0,1.0,1.0,1.0,0.9452054794520548,1.0,1.0,1.0,1.0
1,17,6,21407,397,325,23,6,783,23,1.0,1.0,0.9495538578176941,0.9260450160771704,0.9651162790697675,0.875,1.0,0.9289176090468497,0.875,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9421099209618847,0.9421099209618847,1.0,1.0,1.0,1.0,0.9421099209618847
1,4,30,21407,1295,42,201,225,384,201,1.0,1.0,0.9488931721277962,0.9646271510516252,0.9666666666666667,0.9,0.8913043478260869,0.8544303797468354,0.9,1.0,0.9421099209618847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,13,1,221,221,1135,1256,27,2636,1256,1.0,0.9421099209618847,0.8035714285714286,0.8035714285714286,0.9421579532814238,0.8978174603174603,1.0,0.9132093466857415,0.8978174603174603,0.9421099209618847,1.0,1.0,1.0,1.0,1.0,0.9421099209618847,0.9421099209618847,0.9421099209618847,1.0
1,839,12,21407,1295,102,1772,6896,10980,1772,0.9969834087481146,0.75,0.9488931721277962,0.9646271510516252,0.8554216867469879,0.9279151943462898,0.933624295326423,0.9417808219178082,0.9279151943462898,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0
