ACTION,RESOURCE_count,RESOURCE_target,MGR_ID_count,MGR_ID_target,ROLE_ROLLUP_1_count,ROLE_ROLLUP_1_target,ROLE_ROLLUP_2_count,ROLE_ROLLUP_2_target,ROLE_DEPTNAME_count,ROLE_DEPTNAME_target,ROLE_TITLE_count,ROLE_TITLE_target,ROLE_FAMILY_DESC_count,ROLE_FAMILY_DESC_target,ROLE_FAMILY_count,ROLE_FAMILY_target,ROLE_CODE_count,ROLE_CODE_target
1,3,1.0,55,1.0,21407,0.949222217031812,4424,0.9561482820976492,72,0.9583333333333334,3583,0.9676248953391013,6896,0.9334396751740139,10980,0.9423497267759563,3583,0.9676248953391013
1,30,0.9666666666666667,10,1.0,21407,0.949222217031812,3945,0.9690747782002535,159,0.8930817610062893,81,0.9629629629629629,12,1.0,1287,0.947940947940948,81,0.9629629629629629
1,2,1.0,3,1.0,184,0.9184782608695652,184,0.9184782608695652,546,0.9230769230769231,1256,0.8893312101910829,33,0.9393939393939394,2636,0.907814871016692,1256,0.8893312101910829
1,1,1.0,62,1.0,21407,0.949222217031812,3945,0.9690747782002535,190,0.9894736842105263,4649,0.9204129920412992,1244,0.9557877813504824,10980,0.9423497267759563,4649,0.9204129920412992
1,8,1.0,9,1.0,276,0.9311594202898551,138,0.8768115942028986,45,0.7555555555555555,75,0.8666666666666667,19,0.9473684210526315,362,0.8370165745856354,75,0.8666666666666667
0,5,0.8,2,0.5,74,0.9324324324324325,73,0.9315068493150684,179,0.888268156424581,1043,0.925215723873442,79,0.8354430379746836,2636,0.907814871016692,1043,0.925215723873442
1,409,0.9535452322738386,20,1.0,21407,0.949222217031812,3945,0.9690747782002535,24,1.0,147,0.9251700680272109,154,0.948051948051948,493,0.9513184584178499,147,0.9251700680272109
1,17,1.0,6,1.0,21407,0.949222217031812,397,0.9269521410579346,325,0.963076923076923,23,0.9130434782608695,6,1.0,783,0.933588761174968,23,0.9130434782608695
1,4,1.0,30,1.0,21407,0.949222217031812,1295,0.9644787644787645,42,0.9523809523809523,201,0.9104477611940298,225,0.9022222222222223,384,0.8645833333333334,201,0.9104477611940298
1,13,1.0,1,1.0,221,0.8099547511312217,221,0.8099547511312217,1135,0.9374449339207048,1256,0.8893312101910829,27,1.0,2636,0.907814871016692,1256,0.8893312101910829
1,839,0.9964243146603099,12,0.8333333333333334,21407,0.949222217031812,1295,0.9644787644787645,102,0.8431372549019608,1772,0.9294582392776524,6896,0.9334396751740139,10980,0.9423497267759563,1772,0.9294582392776524
1,16,1.0,12,1.0,742,0.9622641509433962,253,0.9407114624505929,82,1.0,224,0.9866071428571429,12,1.0,412,0.9854368932038835,224,0.9866071428571429
1,5,1.0,12,1.0,498,0.9518072289156626,267,0.9662921348314607,28,1.0,289,0.9134948096885813,7,1.0,465,0.9419354838709677,289,0.9134948096885813
1,839,0.9964243146603099,20,1.0,721,0.9639389736477115,721,0.9639389736477115,296,0.9391891891891891,197,0.9898477157360406,324,0.9567901234567902,449,0.9420935412026726,197,0.9898477157360406
