ACTION,RESOURCE_count,RESOURCE_target,MGR_ID_count,MGR_ID_target,ROLE_ROLLUP_1_count,ROLE_ROLLUP_1_target,ROLE_ROLLUP_2_count,ROLE_ROLLUP_2_target,ROLE_DEPTNAME_count,ROLE_DEPTNAME_target,ROLE_TITLE_count,ROLE_TITLE_target,ROLE_FAMILY_DESC_count,ROLE_FAMILY_DESC_target,ROLE_FAMILY_count,ROLE_FAMILY_target,ROLE_CODE_count,ROLE_CODE_target
1,3,0.9554691699706805,55,0.9910938339941361,21407,0.9492188961670458,4424,0.9561166213824128,72,0.956354868409986,3583,0.9675538823294235,6896,0.9334522298305269,10980,0.9423495085723039,3583,0.9675538823294235
1,30,0.9605274802404711,10,0.9710549604809422,21407,0.9492188961670458,3945,0.9690065990416229,159,0.8959828355598749,81,0.9606714198859214,12,0.9736863277099475,1287,0.9478959901384879,81,0.9606714198859214
1,2,0.9517582674682372,3,0.9554691699706805,184,0.9196963876784477,184,0.9196963876784477,546,0.9234192431827678,1256,0.8897481036410891,33,0.9400255630143918,2636,0.9079444819386314,1256,0.8897481036410891
1,1,0.9473726554198951,62,0.9919597112447062,21407,0.9492188961670458,3945,0.9690065990416229,190,0.9871054960480943,4649,0.9204595619681517,1244,0.9556787075036833,10980,0.9423495085723039,4649,0.9204595619681517
1,8,0.9678388449788247,9,0.9695315373483603,276,0.9315423049287371,138,0.8812236433082355,45,0.789474531083979,75,0.8755423436425747,19,0.9455551451592705,362,0.839841664541986,75,0.8755423436425747
0,5,0.8947399473079231,2,0.8684249341349038,74,0.9335845144002244,73,0.932784327826733,179,0.8911169270350204,1043,0.9253761625922307,79,0.8474280810069533,2636,0.9079444819386314,1043,0.9253761625922307
1,409,0.9532723131494483,20,0.9807033069872948,21407,0.9492188961670458,3945,0.9690065990416229,24,0.9829735061652601,147,0.9262490395517124,154,0.9476896293269442,493,0.9511353861026219,147,0.9262490395517124
1,17,0.9785592299858832,6,0.9638187006011779,21407,0.9492188961670458,397,0.9273245680826016,325,0.9624510424167726,23,0.9218514912005711,6,0.9638187006011779,783,0.9336962159011587,23,0.9218514912005711
1,4,0.9586499435442033,30,0.9855274802404711,21407,0.9492188961670458,1295,0.9643073557161831,42,0.9504057540311316,201,0.9119483374863453,225,0.9039195711047611,384,0.8665510132223828,201,0.9119483374863453
1,13,0.9748304004182107,1,0.9473726554198951,221,0.8156757541541942,221,0.8156757541541942,1135,0.937485676165606,1256,0.8897481036410891,27,0.9843540326924012,2636,0.9079444819386314,1256,0.8897481036410891
1,839,0.9957845691514946,12,0.8827772368008566,21407,0.9492188961670458,1295,0.9643073557161831,102,0.8519741000858826,1772,0.9295292363690342,6896,0.9334522298305269,10980,0.9423495085723039,1772,0.9295292363690342
1,16,0.9777345849853402,12,0.9736863277099475,742,0.9619961425659825,253,0.9407646357780185,82,0.9937076001045526,224,0.9847055521778584,12,0.9736863277099475,412,0.9844101877005186,224,0.9847055521778584
1,5,0.9614066139745898,12,0.9736863277099475,498,0.9516163370268087,267,0.9654191307206456,28,0.9847657686741801,289,0.9144518368214677,7,0.9659470123305203,465,0.9419391562307765,289,0.9144518368214677
1,839,0.9957845691514946,20,0.9807033069872948,721,0.9636403545959219,721,0.9636403545959219,296,0.9392846379399308,197,0.9875415420754534,324,0.9563505964359845,449,0.9420938980601717,197,0.9875415420754534
1,2,0.9517582674682372,13,0.844395617809515,21407,0.9492188961670458,3945,0.9690065990416229,601,0.9794126009977396,4649,0.9204595619681517,6896,0.9334522298305269,10980,0.9423495085723039,4649,0.9204595619681517
1,17,0.9785592299858832,1,0.9473726554198951,184,0.9196963876784477,184,0.9196963876784477,50,0.907018320160314,806,0.9674278176588467,530,0.9026316652029979,2400,0.9590958917882235,806,0.9674278176588467
1,1,0.9473726554198951,19,0.9455551451592705,21407,0.9492188961670458,1665,0.8892066263938023,81,0.9716604308749324,4649,0.9204595619681517,6896,0.9334522298305269,10980,0.9423495085723039,4649,0.9204595619681517
1,4,0.9586499435442033,6,0.9638187006011779,21407,0.9492188961670458,971,0.967809479316635,37,0.9664063661621031,152,0.8606240691951781,1,0.9473726554198951,241,0.8941079649785612,152,0.8606240691951781
1,3,0.9554691699706805,10,0.9710549604809422,21407,0.9492188961670458,3945,0.9690065990416229,159,0.8959828355598749,196,0.9777723262602858,30,0.9855274802404711,10980,0.9423495085723039,196,0.9777723262602858
1,16,0.9777345849853402,23,0.9824575518066316,21407,0.9492188961670458,1295,0.9643073557161831,267,0.9762494556303929,4649,0.9204595619681517,6896,0.9334522298305269,10980,0.9423495085723039,4649,0.9204595619681517
1,4,0.9586499435442033,8,0.9678388449788247,21407,0.9492188961670458,4424,0.9561166213824128,300,0.9561970942245769,216,0.9974384920779595,95,0.8706771353297033,2690,0.9723781848924513,216,0.9974384920779595
1,26,0.9561416447116345,25,0.9834599774176813,21407,0.9492188961670458,4424,0.9561166213824128,366,0.974524200025582,3583,0.9675538823294235,1244,0.9556787075036833,10980,0.9423495085723039,3583,0.9675538823294235
1,1,0.9473726554198951,26,0.9839194224894123,21407,0.9492188961670458,4424,0.9561166213824128,525,0.963403923756297,566,0.915661630572255,665,0.9250682951253613,1287,0.9478959901384879,566,0.915661630572255
